iter	Passed	Remaining
443	1145	1434
444	1146	1430
445	1147	1425
446	1148	1421
447	1149	1416
448	1150	1411
449	1151	1407
450	1153	1403
451	1154	1399
452	1155	1395
453	1156	1390
454	1158	1387
455	1159	1382
456	1160	1378
457	1161	1373
458	1162	1370
459	1164	1366
460	1165	1362
461	1166	1358
462	1167	1354
463	1168	1349
464	1169	1345
465	1170	1341
466	1171	1337
467	1172	1333
468	1173	1328
469	1174	1324
470	1175	1320
471	1177	1316
472	1177	1312
473	1178	1308
474	1179	1303
475	1180	1299
476	1181	1295
477	1182	1291
478	1183	1287
479	1185	1283
480	1185	1279
481	1186	1275
482	1188	1272
483	1189	1268
484	1190	1264
485	1192	1261
486	1193	1257
487	1195	1253
488	1196	1249
489	1197	1245
490	1198	1242
491	1199	1238
492	1200	1235
493	1202	1231
494	1202	1227
495	1203	1223
496	1204	1219
497	1205	1215
498	1206	1211
499	1207	1207
500	1208	1203
501	1209	1199
502	1209	1195
503	1210	1191
504	1211	1187
505	1212	1183
506	1213	1180
507	1214	1176
508	1215	1172
509	1216	1168
510	1217	1165
511	1218	1161
512	1219	1157
513	1220	1154
514	1221	1150
515	1222	1146
516	1223	1142
517	1224	1139
518	1225	1135
519	1225	1131
520	1227	1128
521	1228	1124
522	1229	1120
523	1229	1117
524	1230	1113
525	1231	1109
526	1232	1106
527	1233	1102
528	1234	1098
529	1235	1095
530	1236	1091
531	1236	1088
532	1237	1084
533	1238	1081
534	1239	1077
535	1240	1074
536	1241	1070
537	1242	1066
538	1243	1063
539	1244	1059
540	1245	1056
541	1246	1052
542	1246	1049
543	1247	1045
544	1248	1042
545	1249	1039
546	1250	1035
547	1251	1032
548	1252	1028
549	1253	1025
550	1254	1022
551	1255	1018
552	1256	1015
553	1257	1012
554	1258	1009
555	1259	1005
556	1261	1002
557	1262	999
558	1263	997
559	1264	993
560	1265	990
561	1266	987
562	1267	984
563	1268	980
564	1270	977
565	1271	974
566	1272	971
567	1273	968
568	1274	965
569	1275	962
570	1276	958
571	1277	955
572	1278	952
573	1280	950
574	1281	947
575	1283	944
576	1283	941
577	1284	938
578	1285	934
579	1286	931
580	1288	929
581	1289	926
582	1291	923
583	1292	920
584	1293	917
585	1294	914
586	1295	911
587	1296	908
588	1297	905
589	1298	902
590	1299	899
591	1301	896
592	1302	893
593	1303	890
594	1304	887
595	1305	884
596	1306	881
597	1307	879
598	1311	877
599	1312	874
600	1314	872
601	1315	869
602	1316	866
603	1317	863
604	1318	860
605	1319	857
606	1321	855
607	1322	852
608	1323	849
609	1324	846
610	1325	843
611	1326	840
612	1327	838
613	1328	835
614	1329	832
615	1330	829
616	1330	826
617	1331	823
618	1333	820
619	1333	817
620	1334	814
621	1335	811
622	1336	808
623	1337	805
624	1338	802
625	1339	800
626	1340	797
627	1341	794
628	1342	792
629	1344	789
630	1345	786
631	1346	784
632	1347	781
633	1348	778
634	1352	777
635	1353	774
636	1354	771
637	1354	768
638	1355	765
639	1356	763
640	1358	760
641	1359	758
642	1360	755
643	1361	752
644	1362	749
645	1363	746
646	1364	744
647	1364	741
648	1366	738
649	1367	736
650	1367	733
651	1368	730
652	1369	727
653	1370	725
654	1371	722
655	1372	719
656	1373	717
657	1374	714
658	1375	711
659	1376	709
660	1377	706
661	1378	703
662	1379	701
663	1381	698
664	1382	696
